team,league,season,possession_pct,touches,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,progressive_carries,progressive_passes_received,passes_completed,passes_attempted,pass_completion_pct,progressive_passes,passes_into_final_third,passes_into_penalty_area,goals,shots,shots_on_target,shots_on_target_pct,xg,npxg,xg_per_shot
Arsenal,E0,2024-2025,56.9,0,1844,6064,10362,7808,0,0,17066,20241,84.3,0,1031,2022,0,67,544,178.0,0.37,15.1,2.0
Aston Villa,E0,2024-2025,50.5,0,2646,7301,9257,5362,0,0,14701,17797,82.6,0,1088,2065,0,56,478,159.0,0.33,16.3,3.0
Bournemouth,E0,2024-2025,48.5,0,2217,6444,9314,6128,0,0,12977,16900,76.8,0,1365,2819,0,57,574,192.0,0.27,16.7,6.0
Brentford,E0,2024-2025,47.9,0,3282,8328,8055,5310,0,0,13358,17100,78.1,0,1449,2741,0,65,434,173.0,0.35,14.9,5.0
Brighton,E0,2024-2025,52.3,0,2601,7503,10292,6153,0,0,15820,19188,82.4,0,1313,2397,0,64,526,183.0,0.31,17.2,7.0
Chelsea,E0,2024-2025,57.1,0,2410,7564,11375,6497,0,0,18033,21320,84.6,0,1369,2547,0,61,590,203.0,0.28,16.7,4.0
Crystal Palace,E0,2024-2025,42.8,0,2570,7689,8442,4455,0,0,11875,15754,75.4,0,1137,2545,0,49,512,175.0,0.26,16.8,3.0
Everton,E0,2024-2025,40.9,0,2462,6930,7927,4762,0,0,11405,14953,76.3,0,1526,2901,0,39,404,139.0,0.27,16.8,2.0
Fulham,E0,2024-2025,52.3,0,2641,8095,9787,6287,0,0,16199,19753,82.0,0,1504,2703,0,53,516,167.0,0.3,16.4,3.0
Ipswich Town,E0,2024-2025,40.6,0,3012,7764,7504,4032,0,0,11524,14775,78.0,0,1021,2184,0,35,374,120.0,0.28,17.7,2.0
Leicester City,E0,2024-2025,45.4,0,2881,8066,9845,4048,0,0,13945,17486,79.7,0,1073,2370,0,33,332,105.0,0.3,17.3,2.0
Liverpool,E0,2024-2025,57.7,0,2421,7283,11575,7274,0,0,18303,21758,84.1,0,1412,2550,0,85,639,215.0,0.35,15.9,9.0
Manchester City,E0,2024-2025,61.3,0,2092,6503,12076,9753,0,0,21531,24443,88.1,0,1281,2040,0,71,603,208.0,0.33,16.9,3.0
Manchester Utd,E0,2024-2025,53.5,0,2553,8593,10460,5908,0,0,16837,20415,82.5,0,1257,2438,0,42,524,168.0,0.23,17.4,4.0
Newcastle Utd,E0,2024-2025,51.3,0,2284,7468,9671,6124,0,0,15416,18898,81.6,0,1193,2313,0,66,519,163.0,0.37,15.9,5.0
Nott'ham Forest,E0,2024-2025,41.2,0,2463,6477,7689,5063,0,0,10822,14366,75.3,0,1038,2339,0,57,460,162.0,0.33,17.5,3.0
Southampton,E0,2024-2025,48.5,0,3003,8424,9788,4766,0,0,15530,18561,83.7,0,1175,2271,0,25,341,106.0,0.24,16.3,0.0
Tottenham,E0,2024-2025,54.7,0,2626,8159,10173,6223,0,0,16513,19960,82.7,0,1101,2084,0,61,493,177.0,0.33,16.0,3.0
West Ham,E0,2024-2025,48.4,0,2942,8352,9852,4896,0,0,14820,18363,80.7,0,1346,2580,0,43,473,137.0,0.29,16.3,3.0
Wolves,E0,2024-2025,48.1,0,2578,7797,10051,4750,0,0,14472,17884,80.9,0,1251,2503,0,53,431,155.0,0.34,18.1,0.0
Augsburg,D1,2024-2025,44.3,0,2215,6126,8404,4701,0,0,11577,14936,77.5,0,1267,2377,0,35,397,114.0,0.3,17.4,1.0
Bayern Munich,D1,2024-2025,67.9,0,1651,6130,14825,8664,0,0,22755,25733,88.4,0,1548,2329,0,96,636,255.0,0.34,16.7,9.0
Bochum,D1,2024-2025,45.5,0,2240,6257,8021,4198,0,0,10281,14230,72.2,0,1433,2841,0,32,433,133.0,0.23,17.7,1.0
