date,time,home_team,away_team,league,tv_channel,over_1_5,under_1_5,over_2_5,under_2_5,over_3_5,under_3_5
2025-11-22,13:30,"uid=25_192 heading ""Burnley"" level=""2""","uid=25_193 heading ""Chelsea"" level=""2""","uid=25_194 StaticText ""England - Premier League""",,1.22,4.1,1.67,2.1,2.75,1.42
2025-11-22,16:00,"uid=25_215 heading ""Wolverhampton Wanderers"" level=""2""","uid=25_216 heading ""Crystal Palace"" level=""2""","uid=25_217 StaticText ""England - Premier League""",,1.33,3.15,2.0,1.75,3.55,1.27
2025-11-22,16:00,"uid=25_238 heading ""Fulham"" level=""2""","uid=25_239 heading ""Sunderland"" level=""2""","uid=25_240 StaticText ""England - Premier League""",,1.38,2.9,2.15,1.65,3.95,1.22
2025-11-22,16:00,"uid=25_261 heading ""Brighton and Hove Albion"" level=""2""","uid=25_262 heading ""Brentford"" level=""2""","uid=25_263 StaticText ""England - Premier League""",,1.22,4.1,1.67,2.1,2.7,1.43
2025-11-22,16:00,"uid=25_284 heading ""Liverpool"" level=""2""","uid=25_285 heading ""Nottingham Forest"" level=""2""","uid=25_286 StaticText ""England - Premier League""",,1.14,5.2,1.5,2.5,2.25,1.6
2025-11-22,16:00,"uid=25_307 heading ""Bournemouth"" level=""2""","uid=25_308 heading ""West Ham United"" level=""2""","uid=25_309 StaticText ""England - Premier League""",,1.23,3.9,1.75,2.0,2.85,1.4
2025-11-22,18:30,"uid=25_330 heading ""Newcastle United"" level=""2""","uid=25_331 heading ""Manchester City"" level=""2""","uid=25_332 StaticText ""England - Premier League""",,1.22,4.0,1.72,2.05,2.75,1.42
2025-11-23,15:00,"uid=25_353 heading ""Leeds United"" level=""2""","uid=25_354 heading ""Aston Villa"" level=""2""","uid=25_355 StaticText ""England - Premier League""",,1.37,2.95,2.1,1.67,3.9,1.23
2025-11-23,17:30,"uid=25_376 heading ""Arsenal"" level=""2""","uid=25_377 heading ""Tottenham Hotspur"" level=""2""","uid=25_378 StaticText ""England - Premier League""",,1.25,3.7,1.8,1.95,3.05,1.35
2025-11-24,21:00,"uid=25_399 heading ""Manchester United"" level=""2""","uid=25_400 heading ""Everton"" level=""2""","uid=25_401 StaticText ""England - Premier League""",,1.23,3.9,1.72,2.05,2.8,1.4
2025-11-29,16:00,"uid=25_422 heading ""Sunderland"" level=""2""","uid=25_423 heading ""Bournemouth"" level=""2""","uid=25_424 StaticText ""England - Premier League""",,,,,,,
2025-11-29,16:00,"uid=25_442 heading ""Manchester City"" level=""2""","uid=25_443 heading ""Leeds United"" level=""2""","uid=25_444 StaticText ""England - Premier League""",,,,,,,
2025-11-29,16:00,"uid=25_462 heading ""Brentford"" level=""2""","uid=25_463 heading ""Burnley"" level=""2""","uid=25_464 StaticText ""England - Premier League""",,,,,,,
2025-11-29,18:30,"uid=25_482 heading ""Everton"" level=""2""","uid=25_483 heading ""Newcastle United"" level=""2""","uid=25_484 StaticText ""England - Premier League""",,,,,,,
