date,time,home_team,away_team,league,tv_channel,over_1_5,under_1_5,over_2_5,under_2_5,over_3_5,under_3_5
2025-11-22,14:00,Alaves,Celta,Spania - Primera Division,,1.42,2.75,2.25,1.6,4.2,1.2
2025-11-22,16:15,Barcelona,Athletic Club Bilbao,Spania - Primera Division,,1.14,5.2,1.48,2.55,2.25,1.6
2025-11-22,18:30,Osasuna,Sociedad,Spania - Primera Division,,1.42,2.75,2.25,1.6,4.2,1.2
2025-11-22,21:00,Villarreal,Mallorca,Spania - Primera Division,,1.18,4.5,1.62,2.2,2.55,1.48
2025-11-23,14:00,Real Oviedo,Vallecano,Spania - Primera Division,,1.4,2.8,2.2,1.62,4.1,1.22
2025-11-23,16:15,Betis,Girona,Spania - Primera Division,,1.18,4.5,1.58,2.3,2.5,1.5
2025-11-23,18:30,Getafe,Atletico Madrid,Spania - Primera Division,,1.48,2.55,2.5,1.5,4.8,1.16
2025-11-23,21:00,Elche,Real Madrid,Spania - Primera Division,,1.13,5.4,1.45,2.65,2.15,1.65
2025-11-24,21:00,Espanol,Sevilla,Spania - Primera Division,,1.32,3.2,1.97,1.77,3.45,1.28
2025-11-21,21:15,Unionistas de Salamanca CF,Real Madrid B,Spain Primera RFEF Group 1 - Spain,,1.45,2.35,,,,
2025-11-22,16:15,Merida AD,Real Aviles,Spain Primera RFEF Group 1 - Spain,,,,2.05,1.58,,
2025-11-22,16:15,Lugo,Pontevedra,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-22,18:30,Arenas Club de Getxo,Tenerife,Spain Primera RFEF Group 1 - Spain,,1.45,2.3,,,,
2025-11-22,18:30,CD Guadalajara,Athletic Bilbao B,Spain Primera RFEF Group 1 - Spain,,1.45,2.3,,,,
2025-11-22,18:30,Arenteiro,Ourense CF,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-23,12:00,Celta Vigo B,Ponferradina,Spain Primera RFEF Group 1 - Spain,,,,2.2,1.5,,
2025-11-23,16:00,Zamora CF,Talavera CF,Spain Primera RFEF Group 1 - Spain,,,,1.95,1.65,,
2025-11-23,16:00,Barakaldo CF,Racing Club Ferrol,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-23,18:30,Cacereno,Osasuna B,Spain Primera RFEF Group 1 - Spain,,1.48,2.25,,,,
