team,manager,league,season,scrape_date
Man United,Ruben Amorim,E0,2024-2025,2025-12-05 13:37:47.599742
Man City,Pep Guardiola,E0,2024-2025,2025-12-05 13:37:48.077976
Liverpool,Arne Slot,E0,2024-2025,2025-12-05 13:37:48.954622
Arsenal,Mikel Arteta,E0,2024-2025,2025-12-05 13:37:50.021024
Chelsea,Enzo Maresca,E0,2024-2025,2025-12-05 13:37:51.041475
Tottenham,Thomas Frank,E0,2024-2025,2025-12-05 13:37:52.090053
Newcastle,Eddie Howe,E0,2024-2025,2025-12-05 13:37:52.892312
Aston Villa,Unai Emery,E0,2024-2025,2025-12-05 13:37:54.008893
Brighton,Fabian Hürzeler,E0,2024-2025,2025-12-05 13:37:54.833115
West Ham,Nuno Espírito Santo,E0,2024-2025,2025-12-05 13:37:56.069073
Bournemouth,Andoni Iraola,E0,2024-2025,2025-12-05 13:37:56.907207
Fulham,Marco Silva,E0,2024-2025,2025-12-05 13:37:57.919328
Wolves,Rob Edwards,E0,2024-2025,2025-12-05 13:37:58.922964
Crystal Palace,Oliver Glasner,E0,2024-2025,2025-12-05 13:37:59.929441
Everton,David Moyes,E0,2024-2025,2025-12-05 13:38:00.945062
Brentford,Keith Andrews,E0,2024-2025,2025-12-05 13:38:01.874736
Nott'm Forest,Sean Dyche,E0,2024-2025,2025-12-05 13:38:03.033614
Ipswich,Kieran McKenna,E0,2024-2025,2025-12-05 13:38:03.901156
Leicester,Martí Cifuentes,E0,2024-2025,2025-12-05 13:38:04.952598
Southampton,Tonda Eckert(interim),E0,2024-2025,2025-12-05 13:38:05.897246
Man United,Ruben Amorim,D1,2024-2025,2025-12-05 13:38:07.142612
Man City,Pep Guardiola,D1,2024-2025,2025-12-05 13:38:08.141649
Liverpool,Arne Slot,D1,2024-2025,2025-12-05 13:38:08.992658
Arsenal,Mikel Arteta,D1,2024-2025,2025-12-05 13:38:10.065943
Chelsea,Enzo Maresca,D1,2024-2025,2025-12-05 13:38:11.049625
Tottenham,Thomas Frank,D1,2024-2025,2025-12-05 13:38:12.061533
Newcastle,Eddie Howe,D1,2024-2025,2025-12-05 13:38:12.911421
Aston Villa,Unai Emery,D1,2024-2025,2025-12-05 13:38:14.015064
Brighton,Fabian Hürzeler,D1,2024-2025,2025-12-05 13:38:14.839443
West Ham,Nuno Espírito Santo,D1,2024-2025,2025-12-05 13:38:16.061267
Bournemouth,Andoni Iraola,D1,2024-2025,2025-12-05 13:38:16.916926
Fulham,Marco Silva,D1,2024-2025,2025-12-05 13:38:17.905245
Wolves,Rob Edwards,D1,2024-2025,2025-12-05 13:38:18.908485
