date,time,home_team,away_team,league,country,home_odds,draw_odds,away_odds,over_1_5,under_1_5,over_2_5,under_2_5,over_3_5,under_3_5
2025-12-07,15:00,Brighton and Hove Albion,West Ham United,Vsport Premier League,Europa,,,,1.15,5.0,1.52,2.45,2.3,1.58
2025-12-07,17:30,Fulham,Crystal Palace,Vsport Premier League,Europa,,,,1.33,3.15,2.0,1.75,3.5,1.28
2025-12-08,21:00,Wolverhampton Wanderers,Manchester United,Vsport Premier League,Europa,,,,1.22,4.1,1.67,2.1,2.75,1.42
2025-12-13,16:00,Liverpool,Brighton and Hove Albion,England - Premier League,Europa,,,,,,,,,
2025-12-13,16:00,Chelsea,Everton,England - Premier League,Europa,,,,,,,,,
2025-12-13,18:30,Burnley,Fulham,England - Premier League,Europa,,,,,,,,,
2025-12-13,21:00,Arsenal,Wolverhampton Wanderers,England - Premier League,Europa,,,,,,,,,
2025-12-14,15:00,West Ham United,Aston Villa,England - Premier League,Europa,,,,,,,,,
2025-12-14,15:00,Sunderland,Newcastle United,England - Premier League,Europa,,,,,,,,,
2025-12-14,15:00,Nottingham Forest,Tottenham Hotspur,England - Premier League,Europa,,,,,,,,,
2025-12-14,15:00,Crystal Palace,Manchester City,England - Premier League,Europa,,,,,,,,,
2025-12-14,17:30,Brentford,Leeds United,England Premier League Vinnerspill,Europa,,,,,,,,,
2025-12-09,20:45,Mansfield Town,Bolton Wanderers,England - League One,England,,,,1.22,3.8,1.7,2.0,2.65,1.4
2025-12-09,20:45,Port Vale,Bradford City FC,England - League One,England,,,,1.27,3.35,1.85,1.82,3.0,1.32
2025-12-09,20:45,Lincoln City,Barnsley FC,England - League One,England,,,,1.22,3.7,1.7,2.0,2.7,1.4
2025-12-09,20:45,Northampton Town,Huddersfield Town,England - League One,England,,,,1.32,3.0,2.0,1.7,3.4,1.25
2025-12-09,20:45,Doncaster Rovers,Stockport County FC,England - League One,England,,,,1.25,3.5,1.77,1.9,2.85,1.35
2025-12-09,20:45,Leyton Orient,Luton Town,England - League One,England,,,,1.3,3.2,1.9,1.77,3.15,1.3
2025-12-09,20:45,Wycombe Wanderers,Plymouth Argyle,England - League One,England,,,,1.25,3.55,1.75,1.92,2.85,1.35
2025-12-09,20:45,Stevenage,Cardiff City,England - League One,England,,,,1.35,2.85,2.1,1.65,3.65,1.22
2025-12-09,20:45,Exeter City,AFC Wimbledon,England - League One,England,,,,1.35,2.9,2.05,1.65,3.6,1.22
2025-12-09,21:00,Reading,Peterborough United,England - League One,England,,,,1.25,3.4,1.82,1.85,2.95,1.32
2025-12-10,20:45,Rotherham United,Blackpool FC,England Premier League Vinnerspill,England,,,,,,,,,
2025-12-07,14:00,Elche,Girona,,Spania,,,,1.28,3.45,1.9,1.85,3.2,1.32
2025-12-07,16:15,Valencia,Sevilla,,Spania,,,,1.38,2.9,2.15,1.65,4.0,1.22
2025-12-07,18:30,Espanyol,Rayo Vallecano,,Spania,,,,1.4,2.8,2.2,1.62,4.0,1.22
2025-12-07,21:00,Real Madrid,Celta Vigo,,Spania,,,,1.09,6.7,1.33,3.15,1.87,1.87
2025-12-08,21:00,Osasuna,Levante,,Spania,,,,1.28,3.5,1.85,1.9,3.2,1.32
2025-12-12,21:00,Real Sociedad,Girona,,Spania,,,,,,,,,
2025-12-13,14:00,Atletico Madrid,Valencia,,Spania,,,,,,,,,
2025-12-13,16:15,Mallorca,Elche,,Spania,,,,,,,,,
2025-12-13,18:30,Barcelona,Osasuna,,Spania,,,,,,,,,
2025-12-13,21:00,Getafe,Espanyol,La Liga 2,Spania,,,,,,,,,
2025-12-07,14:00,Cadiz,Racing Santander,,Spania,,,,1.25,3.35,1.8,1.85,3.0,1.3
2025-12-07,16:15,Leganes,Cordoba,,Spania,,,,1.33,2.85,2.0,1.67,3.45,1.23
2025-12-07,18:30,Eibar,CD Leonesa,,Spania,,,,1.33,2.85,2.0,1.65,3.55,1.22
2025-12-07,18:30,Deportivo La Coruna,Castellon,,Spania,,,,1.25,3.4,1.77,1.87,2.85,1.33
2025-12-07,21:00,Granada,Ceuta,,Spania,,,,1.38,2.65,2.15,1.58,3.95,1.18
2025-12-08,16:15,Burgos,Albacete,,Spania,,,,1.4,2.6,2.25,1.52,4.1,1.17
2025-12-08,18:30,Las Palmas,Mirandes,,Spania,,,,1.37,2.7,2.15,1.58,3.95,1.18
2025-12-08,20:30,Malaga,Real Zaragoza,La Liga Vinnerspill,Spania,,,,1.37,2.7,2.15,1.58,3.75,1.2
2026-05-24,02:00,Spania LaLiga 25/26,Spania - LaLiga,,Spania,,,,,,,,,
2025-12-07,12:00,Algeciras,Atletico Madrid B,,Spania,,,,1.45,2.3,,,,6.0
2025-12-07,16:00,Antequera CF,Betis B,,Spania,,,,,,2.3,1.45,,6.0
