date,time,home_team,away_team,league,tv_channel,over_1_5,under_1_5,over_2_5,under_2_5,over_3_5,under_3_5
2025-11-21,21:15,Unionistas de Salamanca CF,Real Madrid B,Spain Primera RFEF Group 1 - Spain,,1.45,2.35,,,,
2025-11-22,16:15,Merida AD,Real Aviles,Spain Primera RFEF Group 1 - Spain,,,,2.05,1.58,,
2025-11-22,16:15,Lugo,Pontevedra,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-22,18:30,Arenas Club de Getxo,Tenerife,Spain Primera RFEF Group 1 - Spain,,1.45,2.3,,,,
2025-11-22,18:30,CD Guadalajara,Athletic Bilbao B,Spain Primera RFEF Group 1 - Spain,,1.45,2.3,,,,
2025-11-22,18:30,Arenteiro,Ourense CF,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-23,12:00,Celta Vigo B,Ponferradina,Spain Primera RFEF Group 1 - Spain,,,,2.2,1.5,,
2025-11-23,16:00,Zamora CF,Talavera CF,Spain Primera RFEF Group 1 - Spain,,,,1.95,1.65,,
2025-11-23,16:00,Barakaldo CF,Racing Club Ferrol,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-23,18:30,Cacereno,Osasuna B,Spain Primera RFEF Group 1 - Spain,,1.48,2.25,,,,
