team,date,temperature,rain_probability,wind_speed,condition
Arsenal,2025-12-05 13:06:18.347929,7.8,0.0,19.5,3
Aston Villa,2025-12-05 13:06:18.347929,7.0,0.4,27.9,51
Bournemouth,2025-12-05 13:06:18.347929,8.6,1.2,40.6,55
Brentford,2025-12-05 13:06:18.347929,8.0,0.0,19.4,3
Brighton,2025-12-05 13:06:18.347929,8.5,0.3,34.3,51
Chelsea,2025-12-05 13:06:18.347929,8.1,0.0,18.7,3
Crystal Palace,2025-12-05 13:06:18.347929,7.8,0.0,20.3,3
Everton,2025-12-05 13:06:18.347929,7.4,0.2,33.0,51
Fulham,2025-12-05 13:06:18.347929,8.2,0.0,18.7,3
Ipswich,2025-12-05 13:06:18.347929,7.8,0.0,22.0,3
Leicester,2025-12-05 13:06:18.347929,7.7,0.0,26.4,3
Liverpool,2025-12-05 13:06:18.347929,7.3,0.2,33.0,51
Man City,2025-12-05 13:06:18.347929,7.8,0.0,22.7,3
Man United,2025-12-05 13:06:18.347929,8.0,0.0,22.7,3
Newcastle,2025-12-05 13:06:18.347929,4.5,0.0,17.3,3
Nott'm Forest,2025-12-05 13:06:18.347929,7.7,0.0,23.2,3
Southampton,2025-12-05 13:06:18.347929,7.5,0.8,28.0,53
Tottenham,2025-12-05 13:06:18.347929,8.2,0.0,21.4,3
West Ham,2025-12-05 13:06:18.347929,8.2,0.0,19.3,3
Wolves,2025-12-05 13:06:18.347929,6.8,0.5,30.1,53
Barcelona,2025-12-05 13:06:18.347929,14.8,0.0,4.8,1
Real Madrid,2025-12-05 13:06:18.347929,9.6,0.0,11.5,3
Ath Madrid,2025-12-05 13:06:18.347929,10.1,0.0,12.0,3
Sevilla,2025-12-05 13:06:18.347929,18.0,0.1,10.6,51
Sociedad,2025-12-05 13:06:18.347929,15.5,0.0,16.2,3
Betis,2025-12-05 13:06:18.347929,18.0,0.1,10.6,51
Villarreal,2025-12-05 13:06:18.347929,19.3,0.0,8.5,3
Ath Bilbao,2025-12-05 13:06:18.347929,15.3,0.0,13.3,3
Valencia,2025-12-05 13:06:18.347929,19.2,0.0,18.9,3
Bayern Munich,2025-12-05 13:06:18.347929,4.1,0.0,5.2,3
Dortmund,2025-12-05 13:06:18.347929,6.9,0.0,8.2,3
RB Leipzig,2025-12-05 13:06:18.347929,3.7,0.0,7.5,2
Leverkusen,2025-12-05 13:06:18.347929,7.2,0.0,5.8,3
Frankfurt,2025-12-05 13:06:18.347929,4.5,0.0,8.4,3
Freiburg,2025-12-05 13:06:18.347929,7.0,0.0,3.3,3
Inter,2025-12-05 13:06:18.347929,10.5,0.0,4.1,1
AC Milan,2025-12-05 13:06:18.347929,10.5,0.0,4.1,1
Juventus,2025-12-05 13:06:18.347929,11.1,0.0,2.2,0
Napoli,2025-12-05 13:06:18.347929,13.6,0.0,0.6,0
Roma,2025-12-05 13:06:18.347929,14.2,0.0,5.3,1
Lazio,2025-12-05 13:06:18.347929,14.2,0.0,5.3,1
Atalanta,2025-12-05 13:06:18.347929,10.1,0.0,2.1,0
Paris SG,2025-12-05 13:06:18.347929,6.8,0.0,14.4,3
Marseille,2025-12-05 13:06:18.347929,10.8,0.0,24.9,0
Lyon,2025-12-05 13:06:18.347929,7.3,0.0,6.8,3
Monaco,2025-12-05 13:06:18.347929,13.3,0.0,10.8,0
Lille,2025-12-05 13:06:18.347929,6.0,0.0,14.8,2
