Div,Date,Time,HomeTeam,AwayTeam,best_over_odds,best_under_odds,market_total_line
E0,2025-11-22,13:30,Burnley,Chelsea,1.22,4.1,1.5
E0,2025-11-22,13:30,Burnley,Chelsea,1.22,4.1,1.5
E0,2025-11-22,13:30,Burnley,Chelsea,1.67,2.1,2.5
E0,2025-11-22,13:30,Burnley,Chelsea,1.67,2.1,2.5
E0,2025-11-22,13:30,Burnley,Chelsea,2.75,1.42,3.5
E0,2025-11-22,13:30,Burnley,Chelsea,2.75,1.42,3.5
D1,2025-11-22,15:30,1. FC Heidenheim,M'gladbach,1.2,4.2,1.5
D1,2025-11-22,15:30,1. FC Heidenheim,M'gladbach,1.62,2.15,2.5
D1,2025-11-22,15:30,1. FC Heidenheim,M'gladbach,2.5,1.47,3.5
D1,2025-11-22,15:30,Augsburg,Hamburger SV,1.2,4.0,1.5
D1,2025-11-22,15:30,Augsburg,Hamburger SV,1.67,2.1,2.5
D1,2025-11-22,15:30,Augsburg,Hamburger SV,2.6,1.45,3.5
D1,2025-11-22,15:30,Bayern Munich,Freiburg,1.09,6.1,1.5
D1,2025-11-22,15:30,Bayern Munich,Freiburg,1.32,3.05,2.5
D1,2025-11-22,15:30,Bayern Munich,Freiburg,1.85,1.87,3.5
D1,2025-11-22,15:30,Dortmund,Stuttgart,1.15,4.7,1.5
D1,2025-11-22,15:30,Dortmund,Stuttgart,1.52,2.4,2.5
D1,2025-11-22,15:30,Dortmund,Stuttgart,2.25,1.57,3.5
D1,2025-11-22,15:30,Wolfsburg,Bayer Leverkusen,1.17,4.4,1.5
D1,2025-11-22,15:30,Wolfsburg,Bayer Leverkusen,1.57,2.25,2.5
D1,2025-11-22,15:30,Wolfsburg,Bayer Leverkusen,2.4,1.52,3.5
E0,2025-11-22,16:00,Bournemouth,West Ham,1.23,3.9,1.5
E0,2025-11-22,16:00,Bournemouth,West Ham,1.23,3.9,1.5
E0,2025-11-22,16:00,Bournemouth,West Ham,1.75,2.0,2.5
E0,2025-11-22,16:00,Bournemouth,West Ham,1.75,2.0,2.5
E0,2025-11-22,16:00,Bournemouth,West Ham,2.85,1.4,3.5
E0,2025-11-22,16:00,Bournemouth,West Ham,2.85,1.4,3.5
E0,2025-11-22,16:00,Brighton,Brentford,1.22,4.1,1.5
E0,2025-11-22,16:00,Brighton,Brentford,1.22,4.1,1.5
E0,2025-11-22,16:00,Brighton,Brentford,1.67,2.1,2.5
E0,2025-11-22,16:00,Brighton,Brentford,1.67,2.1,2.5
E0,2025-11-22,16:00,Brighton,Brentford,2.7,1.43,3.5
E0,2025-11-22,16:00,Brighton,Brentford,2.7,1.43,3.5
E0,2025-11-22,16:00,Fulham,Sunderland,1.38,2.9,1.5
E0,2025-11-22,16:00,Fulham,Sunderland,1.38,2.9,1.5
E0,2025-11-22,16:00,Fulham,Sunderland,2.15,1.65,2.5
E0,2025-11-22,16:00,Fulham,Sunderland,2.15,1.65,2.5
E0,2025-11-22,16:00,Fulham,Sunderland,3.95,1.22,3.5
E0,2025-11-22,16:00,Fulham,Sunderland,3.95,1.22,3.5
E0,2025-11-22,16:00,Liverpool,Nott'm Forest,1.14,5.2,1.5
E0,2025-11-22,16:00,Liverpool,Nott'm Forest,1.14,5.2,1.5
E0,2025-11-22,16:00,Liverpool,Nott'm Forest,1.5,2.5,2.5
E0,2025-11-22,16:00,Liverpool,Nott'm Forest,1.5,2.5,2.5
E0,2025-11-22,16:00,Liverpool,Nott'm Forest,2.25,1.6,3.5
E0,2025-11-22,16:00,Liverpool,Nott'm Forest,2.25,1.6,3.5
E0,2025-11-22,16:00,Wolves,Crystal Palace,1.33,3.15,1.5
E0,2025-11-22,16:00,Wolves,Crystal Palace,1.33,3.15,1.5
E0,2025-11-22,16:00,Wolves,Crystal Palace,2.0,1.75,2.5
E0,2025-11-22,16:00,Wolves,Crystal Palace,2.0,1.75,2.5
E0,2025-11-22,16:00,Wolves,Crystal Palace,3.55,1.27,3.5
E0,2025-11-22,16:00,Wolves,Crystal Palace,3.55,1.27,3.5
F1,2025-11-22,17:00,Lens,Strasbourg Alsace,1.18,4.3,1.5
F1,2025-11-22,17:00,Lens,Strasbourg Alsace,1.6,2.2,2.5
